url,title,genre
https://www.youtube.com/watch?v=6lEfs-MZk_E,Heat Haze Shadow2,game
https://www.youtube.com/watch?v=YklVvi6oUZ0,合唱スタボーフェ!,namco
https://www.youtube.com/watch?v=qnhWgZtB3jA,FooFooカセット,namco
https://www.youtube.com/watch?v=LXZbAMbBi5U,Dr.WILY STAGE 1,game
https://www.youtube.com/watch?v=kDURhSaqVUk,DON'T CUT(裏),namco
https://www.youtube.com/watch?v=LDQqas_lAWw,Diver,game
https://www.youtube.com/watch?v=r_ams3SQb8Y,DRIVE A LIVE,anime
https://www.youtube.com/watch?v=0ZCujR295lY,刀剣乱舞,pops
https://www.youtube.com/watch?v=_hapFIT_vrY,うなぎのたましいロック,namco
https://www.youtube.com/watch?v=vHg3b3pwwF4,ユースフルコースター,namco
https://www.youtube.com/watch?v=OSSVX_qzRVo,あの日出会えたキセキ,namco
https://www.youtube.com/watch?v=27LQnh_PF00,Evidence of Evil,namco
https://www.youtube.com/watch?v=jUl-IBa-Lyw,忍者は最高,namco
https://www.youtube.com/watch?v=QlDkemliyRY,祭り囃子でゲラゲラポー,kids
https://www.youtube.com/watch?v=EO8vsweD_rE,ウィリアム・テル序曲,classic
https://www.youtube.com/watch?v=3PCSlZ92LJI,Growing Up,namco
https://www.youtube.com/watch?v=_bLnISQDq_o,限界突破×サバイバー(裏),kids
https://www.youtube.com/watch?v=SgZfzHt4DEs,限界突破×サバイバー(表),kids
https://www.youtube.com/watch?v=dQ3kTL1XwKk,ようかい体操第一,kids
https://www.youtube.com/watch?v=_f9z6Oyg_AI,おどるポンポコリン(表),kids
https://www.youtube.com/watch?v=kQlgIW0w9sE,恋するフォーチュンクッキー,pops
https://www.youtube.com/watch?v=FVgJjBdkeP0,春遊~happy excursion~(裏),namco
https://www.youtube.com/watch?v=3hYrSPYhdWE,いつも何度でも,kids
https://www.youtube.com/watch?v=qE5uoRsfQnY,撥条少女時計,vocaloid
https://www.youtube.com/watch?v=yRrZ1CDZEIU,グラーヴェ,vocaloid
https://www.youtube.com/watch?v=fEHLLc6MjtY,Gloria,namco
https://www.youtube.com/watch?v=1dH2RJwMy6Q,星屑とリニアと僕,namco
https://www.youtube.com/watch?v=t7fYt93LX94,BLAZING VORTEX(裏),game
https://www.youtube.com/watch?v=Wpqf-gsXKO4,流浪の琥珀姫,namco
https://www.youtube.com/watch?v=rIch-t-euAA,GLORIOUS RO@D,anime
https://www.youtube.com/watch?v=HXhcZj0kjDA,NeGa/PoSi＊ラブ/コール(裏),variety
https://www.youtube.com/watch?v=5I5AR6BzSCw,くまもとサプライズ!,kids
https://www.youtube.com/watch?v=2GeE2YaBH94,オーブの祈り,kids
https://www.youtube.com/watch?v=cKaDZVzyrmA,黒神クロニクル,namco
https://www.youtube.com/watch?v=0z3vYXvGego,頂,namco
https://www.youtube.com/watch?v=hgt6Pk4Qg-c,亡き王女のためのパヴァーヌ(裏),classic
https://www.youtube.com/watch?v=oq7UlsfNyQI,Silent Jealousy(裏),pops
https://www.youtube.com/watch?v=sNQtGDLSOso,キューティー☆デモニック☆魔人エモ!!,namco
https://www.youtube.com/watch?v=4o5SxClIoWI,さちさちにしてあげる♪(裏),pops
https://www.youtube.com/watch?v=VBQkUUm1OZA,ワンダーモモーイ,game
https://www.youtube.com/watch?v=itW7tdmNDxg,THE IDOLM@STER(裏),anime
https://www.youtube.com/watch?v=ktvELb1klDw,Grip&Break down!!-達人Edit-(裏),variety
https://www.youtube.com/watch?v=cfh6byoi2Rk,ナンセンス文学,pops
https://www.youtube.com/watch?v=Ac9lE3LBvKs,リバイバー,namco
https://www.youtube.com/watch?v=dYy3OC-IRvQ,愛と浄罪の森,namco
https://www.youtube.com/watch?v=y5dB5g-0TEY,虹色･夢色･太鼓色,namco
https://www.youtube.com/watch?v=QEo0MCZnO3k,3Q-4U-AC00,namco
https://www.youtube.com/watch?v=UwTBcJQz0y8,道化師の朝の歌,classic
https://www.youtube.com/watch?v=9VeISc6_IBQ,渚のアンドロメダ,namco
https://www.youtube.com/watch?v=5y6isw_cues,バトル-電光石火-,game
https://www.youtube.com/watch?v=4FmJc3NAFf8,弩蚊怒夏,classic
https://www.youtube.com/watch?v=tW3DvfCXIgM,色は匂えど散りぬるを,variety
https://www.youtube.com/watch?v=Pglf57s6d6k,重金属フューギティブ,vocaloid
https://www.youtube.com/watch?v=73IaRe7LD_o,恋の処方箋,namco
https://www.youtube.com/watch?v=epyAIycdn0g,Day by Day!,namco
https://www.youtube.com/watch?v=zQ36EC1gm-8,セイクリッド ルイン(表),namco
https://www.youtube.com/watch?v=9ZxjdtGBQ6I,BORDERLESS,vocaloid
https://www.youtube.com/watch?v=gCQFitC11J4,らんぶる乱舞(裏),namco
https://www.youtube.com/watch?v=ljnj24Wp7-E,めたるぽりす(裏),namco
https://www.youtube.com/watch?v=oBUmznM6Tl4,タベルナ2000,namco
https://www.youtube.com/watch?v=y_B6vsEl-js,ファンタジーゾーン OPA-OPA! -GMT remix-,game
https://www.youtube.com/watch?v=u9aK2oyDhN8,レイン,pops
